Umur,Kelas Pekerja,Pekerjaan,Jam per Minggu,Gaji
21,Wiraswasta,Servis Lainnya,35.0,<=7jt
49,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
44,Wiraswasta,Ekesekutif Managerial,45.0,>7jt
24,Wiraswasta,Spesialis,35.0,<=7jt
33,Wiraswasta,Spesialis,40.0,>7jt
31,Wiraswasta,Ekesekutif Managerial,40.0,<=7jt
32,Wiraswasta,Servis Lainnya,34.0,<=7jt
20,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
23,?,?,40.0,<=7jt
43,Wiraswasta,Sales,46.0,<=7jt
31,Wiraswasta,Pembersih,40.0,<=7jt
28,Pemerintah Lokal,Pemuka Agama,40.0,<=7jt
45,Wiraswasta,Servis Lainnya,40.0,<=7jt
44,Pemerintah Lokal,Spesialis,48.0,<=7jt
52,Pekerja Bebas Perusahaan,Ekesekutif Managerial,40.0,<=7jt
27,Wiraswasta,Petani,40.0,>7jt
26,Wiraswasta,Tech-support,40.0,<=7jt
56,Wiraswasta,Servis Lainnya,45.0,<=7jt
59,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
41,Wiraswasta,Supir,45.0,<=7jt
51,Wiraswasta,Servis Lainnya,38.0,<=7jt
68,Wiraswasta,Pemuka Agama,40.0,<=7jt
64,Wiraswasta,Pemuka Agama,40.0,<=7jt
21,Wiraswasta,Servis Lainnya,18.0,<=7jt
37,Pemerintah Negara,Pemuka Agama,40.0,>7jt
67,Wiraswasta,Pembersih,32.0,<=7jt
34,Wiraswasta,Perbaikan Kerajinan,40.0,<=7jt
42,?,?,12.0,<=7jt
44,Pekerja Bebas Bukan Perusahan,Petani,60.0,<=7jt
24,Wiraswasta,Pemuka Agama,40.0,<=7jt
25,Wiraswasta,Perbaikan Kerajinan,45.0,>7jt
24,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
50,Wiraswasta,Ekesekutif Managerial,48.0,>7jt
32,Wiraswasta,Spesialis,40.0,>7jt
23,Wiraswasta,Pemuka Agama,40.0,<=7jt
29,Wiraswasta,Sales,45.0,>7jt
40,Wiraswasta,Mesin Inspeksi,40.0,<=7jt
34,Wiraswasta,Ekesekutif Managerial,50.0,<=7jt
44,Wiraswasta,Perbaikan Kerajinan,35.0,<=7jt
59,Wiraswasta,Ekesekutif Managerial,60.0,>7jt
33,Wiraswasta,Asisten Rumah Tangga,40.0,<=7jt
35,Wiraswasta,Perbaikan Kerajinan,40.0,>7jt
22,Wiraswasta,Servis Lainnya,35.0,<=7jt
40,Wiraswasta,Pembersih,40.0,<=7jt
25,Wiraswasta,Spesialis,40.0,<=7jt
19,Wiraswasta,Sales,25.0,<=7jt
19,Pemerintah Negara,Pemuka Agama,15.0,<=7jt
31,Wiraswasta,Spesialis,40.0,<=7jt
