Umur,Jenis Kelamin,Jam per Minggu,Gaji
21,Perempuan,35.0,<=7jt
49,Perempuan,40.0,<=7jt
44,Laki2,45.0,>7jt
24,Laki2,35.0,<=7jt
33,Laki2,40.0,>7jt
31,Perempuan,40.0,<=7jt
32,Laki2,34.0,<=7jt
20,Laki2,40.0,<=7jt
23,Laki2,40.0,<=7jt
43,Perempuan,46.0,<=7jt
31,Laki2,40.0,<=7jt
28,Perempuan,40.0,<=7jt
45,Perempuan,40.0,<=7jt
44,Laki2,48.0,<=7jt
52,Laki2,40.0,<=7jt
27,Laki2,40.0,>7jt
26,Laki2,40.0,<=7jt
56,Perempuan,45.0,<=7jt
59,Laki2,40.0,<=7jt
41,Laki2,45.0,<=7jt
51,Perempuan,38.0,<=7jt
68,Laki2,40.0,<=7jt
64,Perempuan,40.0,<=7jt
21,Laki2,18.0,<=7jt
37,Perempuan,40.0,>7jt
67,Laki2,32.0,<=7jt
34,Laki2,40.0,<=7jt
42,Perempuan,12.0,<=7jt
44,Laki2,60.0,<=7jt
24,Perempuan,40.0,<=7jt
25,Laki2,45.0,>7jt
24,Laki2,40.0,<=7jt
50,Laki2,48.0,>7jt
32,Laki2,40.0,>7jt
23,Perempuan,40.0,<=7jt
29,Perempuan,45.0,>7jt
40,Laki2,40.0,<=7jt
34,Laki2,50.0,<=7jt
44,Laki2,35.0,<=7jt
59,Laki2,60.0,>7jt
33,Perempuan,40.0,<=7jt
35,Laki2,40.0,>7jt
22,Perempuan,35.0,<=7jt
40,Laki2,40.0,<=7jt
25,Perempuan,40.0,<=7jt
19,Perempuan,25.0,<=7jt
19,Laki2,15.0,<=7jt
31,Laki2,40.0,<=7jt
24,Laki2,40.0,<=7jt
44,Laki2,40.0,<=7jt
42,Laki2,40.0,>7jt
33,Laki2,40.0,<=7jt
47,Laki2,30.0,<=7jt
66,Laki2,25.0,>7jt
43,Laki2,30.0,<=7jt
37,Laki2,40.0,>7jt
81,Laki2,21.0,<=7jt
29,Laki2,40.0,<=7jt
27,Laki2,45.0,<=7jt
25,Perempuan,40.0,<=7jt
35,Perempuan,40.0,<=7jt
51,Perempuan,38.0,<=7jt
36,Perempuan,40.0,<=7jt
32,Perempuan,45.0,<=7jt
55,Perempuan,33.0,<=7jt
46,Perempuan,40.0,<=7jt
49,Laki2,40.0,<=7jt
29,Perempuan,35.0,<=7jt
68,Laki2,22.0,<=7jt
58,Laki2,50.0,<=7jt
61,Perempuan,38.0,<=7jt
56,Perempuan,50.0,<=7jt
45,Laki2,38.0,>7jt
21,Perempuan,40.0,<=7jt
37,Perempuan,37.0,>7jt
17,Laki2,25.0,<=7jt
18,Laki2,15.0,<=7jt
29,Laki2,40.0,>7jt
24,Laki2,40.0,<=7jt
40,Perempuan,40.0,<=7jt
74,Laki2,35.0,>7jt
