price_in_rp,building_size_m2,land_size_m2,floors,bedrooms,bathrooms,building_age
2990000000.0,272.0,239.0,2.0,4.0,4.0,5.0
1270000000.0,69.0,55.0,2.0,3.0,2.0,
1950000000.0,131.0,119.0,2.0,3.0,3.0,
3300000000.0,174.0,180.0,2.0,3.0,3.0,6.0
4500000000.0,196.0,328.0,2.0,4.0,3.0,9.0
2700000000.0,200.0,136.0,2.0,3.0,3.0,9.0
2350000000.0,144.0,144.0,2.0,2.0,2.0,
4500000000.0,250.0,216.0,2.0,4.0,4.0,
2900000000.0,152.0,200.0,2.0,,3.0,
2700000000.0,200.0,136.0,2.0,3.0,3.0,
2550000000.0,186.0,144.0,2.0,3.0,2.0,
952000000.0,50.0,55.0,2.0,2.0,2.0,
1800000000.0,82.0,119.0,2.0,2.0,1.0,9.0
2350000000.0,149.0,144.0,2.0,3.0,3.0,8.0
2500000000.0,200.0,144.0,2.0,3.0,3.0,8.0
2700000000.0,136.0,193.0,3.0,3.0,3.0,7.0
5360000000.0,370.0,192.0,2.0,5.0,4.0,
952000000.0,50.0,55.0,2.0,2.0,2.0,
2250000000.0,150.0,119.0,2.0,4.0,3.0,
2250000000.0,150.0,119.0,1.0,3.0,2.0,6.0
2450000000.0,150.0,144.0,1.0,3.0,3.0,6.0
125000000.0,110.0,110.0,2.0,3.0,1.0,0.0
1980000000.0,98.0,119.0,2.0,2.0,2.0,2.0
764000000.0,83.0,78.0,2.0,3.0,3.0,0.0
2000000000.0,155.0,164.0,1.0,,,12.0
764000000.0,83.0,78.0,2.0,3.0,3.0,0.0
2350000000.0,140.0,119.0,2.0,3.0,2.0,
2550000000.0,186.0,144.0,2.0,3.0,2.0,
480000000.0,30.0,55.0,1.0,2.0,1.0,0.0
1900000000.0,120.0,91.0,2.0,2.0,3.0,
300000000.0,36.0,60.0,1.0,2.0,1.0,0.0
5270000000.0,307.0,192.0,3.0,4.0,3.0,0.0
2800000000.0,200.0,150.0,2.0,4.0,3.0,
2710000000.0,149.0,135.0,2.0,4.0,4.0,
