building_size_m2,land_size_m2,floors,bedrooms,bathrooms,building_age,price_in_rupiah(juta)
272.0,239.0,2.0,4.0,4.0,5.0,2990.0
69.0,55.0,2.0,3.0,2.0,,1270.0
131.0,119.0,2.0,3.0,3.0,,1950.0
174.0,180.0,2.0,3.0,3.0,6.0,3300.0
196.0,328.0,2.0,4.0,3.0,9.0,4500.0
200.0,136.0,2.0,3.0,3.0,9.0,2700.0
144.0,144.0,2.0,2.0,2.0,,2350.0
250.0,216.0,2.0,4.0,4.0,,4500.0
152.0,200.0,2.0,,3.0,,2900.0
200.0,136.0,2.0,3.0,3.0,,2700.0
186.0,144.0,2.0,3.0,2.0,,2550.0
50.0,55.0,2.0,2.0,2.0,,952.0
82.0,119.0,2.0,2.0,1.0,9.0,1800.0
149.0,144.0,2.0,3.0,3.0,8.0,2350.0
200.0,144.0,2.0,3.0,3.0,8.0,2500.0
136.0,193.0,3.0,3.0,3.0,7.0,2700.0
370.0,192.0,2.0,5.0,4.0,,5360.0
50.0,55.0,2.0,2.0,2.0,,952.0
150.0,119.0,2.0,4.0,3.0,,2250.0
150.0,119.0,1.0,3.0,2.0,6.0,2250.0
150.0,144.0,1.0,3.0,3.0,6.0,2450.0
110.0,110.0,2.0,3.0,1.0,0.0,125.0
98.0,119.0,2.0,2.0,2.0,2.0,1980.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
155.0,164.0,1.0,,,12.0,2000.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
140.0,119.0,2.0,3.0,2.0,,2350.0
186.0,144.0,2.0,3.0,2.0,,2550.0
30.0,55.0,1.0,2.0,1.0,0.0,480.0
120.0,91.0,2.0,2.0,3.0,,1900.0
36.0,60.0,1.0,2.0,1.0,0.0,300.0
307.0,192.0,3.0,4.0,3.0,0.0,5270.0
200.0,150.0,2.0,4.0,3.0,,2800.0
149.0,135.0,2.0,4.0,4.0,,2710.0
42.0,72.0,1.0,3.0,1.0,0.0,500.0
37.0,60.0,1.0,3.0,1.0,0.0,439.0
82.0,92.0,2.0,3.0,2.0,4.0,800.0
125.0,200.0,1.0,3.0,2.0,7.0,850.0
146.0,90.0,2.0,3.0,2.0,,700.0
430.0,348.0,2.0,5.0,4.0,,4950.0
105.0,84.0,2.0,4.0,4.0,0.0,1300.0
90.0,120.0,2.0,3.0,2.0,0.0,1200.0
296.0,160.0,2.0,5.0,4.0,,2650.0
105.0,84.0,2.0,4.0,4.0,0.0,1300.0
105.0,84.0,2.0,4.0,4.0,0.0,1300.0
105.0,84.0,2.0,4.0,3.0,0.0,1300.0
65.0,90.0,1.0,2.0,1.0,11.0,425.0
40.0,70.0,1.0,2.0,1.0,0.0,280.0
190.0,127.0,2.0,6.0,2.0,1.0,999.0
398.0,400.0,2.0,5.0,4.0,7.0,5750.0
136.0,100.0,2.0,3.0,2.0,0.0,1500.0
1400.0,700.0,4.0,8.0,9.0,11.0,6800.0
400.0,250.0,1.0,4.0,5.0,,3000.0
19.0,60.0,1.0,2.0,1.0,0.0,168.0
80.0,90.0,2.0,3.0,1.0,0.0,870.0
45.0,86.0,1.0,2.0,1.0,0.0,495.0
36.0,60.0,1.0,2.0,1.0,0.0,275.0
70.0,70.0,1.0,2.0,2.0,1.0,300.0
60.0,55.0,2.0,2.0,2.0,,1440.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
90.0,120.0,2.0,,2.0,1.0,1200.0
83.0,78.0,2.0,3.0,3.0,0.0,764.0
45.0,86.0,1.0,2.0,1.0,0.0,495.0
136.0,100.0,2.0,4.0,3.0,0.0,1500.0
36.0,60.0,1.0,2.0,1.0,0.0,300.0
36.0,60.0,1.0,2.0,1.0,,365.0
38.0,60.0,1.0,2.0,1.0,0.0,350.0
38.0,60.0,1.0,2.0,1.0,2.0,351.0
36.0,60.0,1.0,2.0,1.0,0.0,393.0
36.0,72.0,1.0,2.0,1.0,1.0,392.0
36.0,66.0,1.0,2.0,1.0,1.0,440.0
38.0,60.0,1.0,2.0,1.0,2.0,351.0
38.0,66.0,1.0,2.0,1.0,0.0,401.0
216.0,160.0,2.0,4.0,4.0,5.0,1990.0
126.0,126.0,2.0,3.0,2.0,7.0,1150.0
700.0,376.0,2.0,5.0,4.0,7.0,3200.0
87.0,66.0,2.0,3.0,2.0,,950.0
80.0,126.0,2.0,2.0,2.0,,1500.0
56.0,84.0,2.0,2.0,2.0,,1250.0
200.0,152.0,2.0,5.0,3.0,,1200.0
700.0,376.0,2.0,5.0,5.0,,3200.0
60.0,90.0,1.0,2.0,1.0,12.0,850.0
120.0,139.0,1.0,3.0,2.0,,1280.0
90.0,58.0,2.0,3.0,3.0,0.0,895.0
225.0,131.0,2.0,4.0,3.0,2.0,1450.0
90.0,126.0,1.0,2.0,1.0,12.0,1300.0
60.0,90.0,1.0,2.0,2.0,16.0,690.0
120.0,90.0,2.0,2.0,1.0,,950.0
160.0,90.0,2.0,4.0,3.0,,1350.0
120.0,138.0,1.0,3.0,2.0,,1000.0
216.0,160.0,3.0,3.0,3.0,5.0,2850.0
52.0,78.0,2.0,3.0,2.0,0.0,1150.0
63.0,36.0,1.0,2.0,1.0,0.0,342.0
60.0,36.0,1.0,2.0,1.0,0.0,327.0
70.0,90.0,1.0,2.0,1.0,7.0,975.0
70.0,90.0,1.0,3.0,2.0,,975.0
100.0,105.0,2.0,4.0,3.0,7.0,1370.0
100.0,105.0,2.0,4.0,3.0,,1370.0
157.0,144.0,2.0,3.0,3.0,,2150.0
157.0,144.0,2.0,3.0,3.0,,2150.0
157.0,144.0,2.0,3.0,3.0,,2150.0
94.0,126.0,1.0,3.0,2.0,,1200.0
228.0,114.0,2.0,2.0,3.0,,1550.0
69.0,108.0,1.0,2.0,2.0,5.0,1250.0
29.0,60.0,1.0,2.0,1.0,0.0,168.0
77.0,144.0,1.0,3.0,1.0,,1400.0
140.0,77.0,2.0,3.0,2.0,,799.0
63.0,54.0,2.0,3.0,2.0,0.0,779.0
60.0,66.0,1.0,2.0,1.0,,775.0
157.0,144.0,2.0,3.0,3.0,8.0,2150.0
